iter	Passed	Remaining
0	10	10722
1	17	8629
2	20	6728
3	24	6004
4	27	5519
5	31	5204
6	34	4848
7	37	4629
8	40	4450
9	44	4419
10	48	4327
11	52	4212	12	55	4213	70	4941
14	14	76	5015
15	83	5107
16	89	5168
17	93	5125
18	100	5191
19	110	5412
20	114	5330
21	119	5314
22	122	5216
23	127	5168
24	134	5234
25	138	5173
26	142	5139
27	145	5067
28	149	5014
29	153	4972
30	158	4944
31	162	4903
32	165	4858
33	169	4818
34	174	4810
35	177	4755
36	182	4754
37	187	4738
38	191	4719
39	194	4677
40	198	4632
41	201	4595
42	205	4577
43	208	4520
44	210	4462
45	214	4443
46	217	4413
47	220	4375
48	225	4374
49	231	4391
50	234	4371
51	240	4385
52	244	4365
53	247	4343
54	251	4324
55	254	4284
56	256	4247
57	258	4199
58	261	4165
59	263	4124
60	265	4089
61	267	4054
62	270	4020
63	272	3984
64	275	3959
65	278	3934
66	279	3898
67	281	3859
68	283	3826
69	285	3790
70	287	3762
71	289	3730
72	291	3699
73	293	3666
74	295	3640
75	297	3620
76	300	3601
77	302	3576
78	304	3548
79	306	3525
80	308	3505
81	310	3480
82	313	3462
83	315	3436
84	317	3417
85	319	3399
86	321	3376
87	323	3350
88	324	3325
89	32690	33690	32891	33991	33092	34292	33293	345	3327
94	347	3307
95	349	3295
96	352	3277
97	354	3259
98	356	3244
99	359	3233
100	361	3218
101	364	3205
102	366	3192
103	368	3178
104	371	3170
105	374	3155
106	376	3141
107	379	3131
108	381	3119
109	384	3107
110	386	3093
111	388	3077
112	390	3065
113	393	3057
114	396	3047
115	397	3031
116	400	3020
117	402	3009
118	404	2994
119	406	2983
120	409	2971
121	410	2957
122	416	2966
123	418	2958
124	421	2947
125	423	2938
126	426	2931
127	431	2937
128	433	2930
129	436	2920
130	439	2912
131	441	2902
132	443	2892
133	445	2879
134	447	2867
135	449	2854
136	451	2842
137	453	2833
138	455	2822
139	457	2812
140	460	2805
141	462	2796
142	464	2785
143	466	2775
144	469	2765
145	471	2756
146	473	2748
147	476	2740
148	478	2733
149	480	2725
150	483	2718
151	486	2712
152	489	2709
153	492	2704
154	494	2695
155	496	2685
156	502	2698
157	504	2690
158	507	2683
159	513	2695
160	515	2684
161	516	2672
162	518	2662
163	520	2654
164	522	2642
165	532	2676
166	534	2666
167	536	2659
168	539	2652
169	542	2649
170	545	2644
171	548	2638
172	550	2632
173	552	2624
174	554	2614
175	557	2608
176	559	2603
177	562	2597
178	565	2591
179	567	2586
180	569	2578
181	572	2571
182	575	2568
183	577	2561
184	580	2555
185	582	2550
186	585	2544
187	587	2538
188	590	2532
189	592	2527
190	594	2519
191	597	2514
192	600	2509
193	602	2503
194	604	2496
195	607	2490
196	609	2482
197	611	2475
198	613	2468
199	615	2462
200	617	2454
201	619	2448
202	621	2441
203	623	2434
204	626	2428
205	628	2421
206	630	2415
207	632	2408
208	634	2402
209	636	2396
210	639	2392
211	641	2385
212	643	2377
213	645	2371
214	648	2366
215	650	2359
216	652	2353
217	654	2348
218	657	2343
219	658	2336
220	660	2328
221	662	2322
222	665	2317
223	667	2312
224	669	2306
225	672	2304
226	675	2298
227	677	2294
